prplRqstNo,instRcptSn
1AB-2509-0010545,201094694
1AB-2509-0010561,201094692
1AB-2509-0010544,201094685
1AB-2509-0010543,201094677
1AB-2509-0010509,201094662
1AB-2509-0010515,201094659
1AB-2509-0010489,201094655
1AB-2509-0010500,201094654
1AB-2509-0010452,201094650
1AB-2509-0010452,201094640
1AB-2509-0010432,201094621
1AB-2509-0010453,201094617
1AB-2509-0010424,201094604
1AB-2509-0010415,201094565
1AB-2509-0010400,201094563
1AB-2509-0010400,201095166
1AB-2509-0010416,201094562
1AB-2509-0010387,201094558
1AB-2509-0010407,201094557
1AB-2509-0010351,201097109
1AB-2509-0010351,201094548
1AB-2509-0010364,201094545
1AB-2509-0010375,201094544
1AB-2509-0010376,201094541
1AB-2509-0010378,201094536
1AB-2509-0010320,201094530
1AB-2509-0010345,201094494
1AB-2509-0010343,201094490
1AB-2509-0010335,201094488
1AB-2509-0010337,201094487
1AB-2509-0010333,201094481
1AB-2509-0010321,201094480
1AB-2509-0010327,201094479
1AB-2509-0010326,201094478
1AB-2509-0010323,201094475
1AB-2509-0010318,201094474
1AB-2509-0010316,201094473
1AB-2509-0010314,201094471
1AB-2509-0010313,201094470
1AB-2509-0010312,201094469
1AB-2509-0010306,201094463
1AB-2509-0010300,201094460
1AB-2509-0010291,201094452
1AB-2509-0010254,201094416
1AB-2509-0010196,201094358
1AB-2509-0010186,201094351
1AB-2509-0010182,201094349
1AB-2509-0010179,201094348
1AB-2509-0010177,201094346
1AB-2509-0010176,201094345
1AB-2509-0010175,201094344
1AB-2509-0010174,201094343
1AB-2509-0010162,201094339
1AB-2509-0010153,201094333
1AB-2509-0010125,201094327
1AB-2509-0010147,201094325
1AB-2509-0010138,201094319
1AB-2509-0010123,201094311
1AB-2509-0010100,201094306
1AB-2509-0010114,201094304
1AB-2509-0010121,201094303
1AB-2509-0010112,201094302
1AB-2509-0010106,201094297
1AB-2509-0010104,201094296
1AB-2509-0010099,201094295
1AB-2509-0010092,201094290
1AB-2509-0010084,201094288
1AB-2509-0010085,201094287
1AB-2509-0010022,201094285
1AB-2509-0010022,201095167
1AB-2509-0010082,201094284
1AB-2509-0010076,201094783
1AB-2509-0010083,201094258
1AB-2509-0010073,201094252
1AB-2509-0010032,201094242
1AB-2509-0010026,201094240
1AB-2509-0010019,201094239
1AB-2509-0010020,201094237
1AB-2509-0010005,201094228
1AB-2509-0010006,201094226
1AB-2509-0009978,201094207
1AB-2509-0009984,201094206
1AB-2509-0009973,201094201
1AB-2509-0009972,201094198
1AB-2509-0009890,201094192
1AB-2509-0009950,201094184
1AB-2509-0009949,201094183
1AB-2509-0009960,201094181
1AB-2509-0009938,201094167
1AB-2509-0009931,201094165
1AB-2509-0009920,201094138
1AB-2509-0009899,201094120
1AB-2509-0009900,201094116
1AB-2509-0009881,201094114
1AB-2509-0009862,201094111
1AB-2509-0009858,201094104
1AB-2509-0009838,201094054
1AB-2509-0009805,201094033
1AB-2509-0009767,201094016
1AB-2509-0009742,201093982
1AB-2509-0009695,201093959
1AB-2509-0009693,201093938
1AB-2509-0009657,201093910
1AB-2509-0009649,201093896
1AB-2509-0009642,201093894
1AB-2509-0009614,201093883
1AB-2509-0009628,201093881
